round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Final,Rafael Nadal,7-5 3-6 7-6(3) 3-6 6-2,2009,m,Rafael Nadal,Roger Federer,ESP,SUI,64%,52%,4,11,4,6,66%,73%,48%,45%,196,204,179,183,143,156,44%,32%,40%,41%,173,174,50,71,41,64,58%,72%
semi,Rafael Nadal,6-7(4) 6-4 7-6(2) 6-7(1) 6-4,2009,m,Rafael Nadal,Fernando Verdasco,ESP,ESP,74%,69%,12,20,3,4,72%,71%,62%,55%,200,220,182,188,143,158,20%,50%,34%,31%,193,192,52,95,25,76,70%,65%
semi,Roger Federer,6-2 7-5 7-5,2009,m,Roger Federer,Andy Roddick,SUI,USA,66%,65%,16,8,0,2,83%,70%,58%,52%,208,224,188,206,156,172,31%,0%,36%,26%,105,85,51,38,15,18,63%,50%
quarter,Rafael Nadal,6-2 7-5 7-5,2009,m,Rafael Nadal,Gilles Simon,ESP,FRA,67%,55%,5,4,2,4,73%,71%,58%,38%,203,203,183,182,140,135,58%,43%,44%,32%,105,83,29,42,24,41,87%,66%
quarter,Roger Federer,6-3 6-0 6-0,2009,m,Roger Federer,Juan Martin Del Potro,SUI,ARG,70%,59%,12,5,0,2,86%,46%,75%,33%,204,209,188,192,159,151,64%,-,59%,17%,83,36,38,8,9,24,84%,45%
Fourth,Rafael Nadal,6-3 6-2 6-4,2009,m,Rafael Nadal,Fernando Gonzalez,ESP,CHI,67%,69%,4,6,0,2,78%,59%,63%,36%,196,206,180,177,143,148,46%,29%,48%,27%,96,66,33,22,11,35,71%,44%
Fourth,Roger Federer,4-6 6-7(4) 6-4 6-4 6-2,2009,m,Roger Federer,Tomas Berdych,SUI,CZE,67%,61%,20,8,5,2,71%,71%,46%,46%,204,214,187,195,156,158,67%,42%,39%,37%,159,151,61,58,40,42,69%,50%
Fourth,Novak Djokovic,6-1 7-6(1) 6-7(5) 6-2,2009,m,Novak Djokovic,Marcos Baghdatis,SRB,CYP,63%,54%,3,12,3,2,74%,64%,56%,46%,206,208,187,187,159,150,29%,20%,44%,33%,147,118,36,37,49,53,76%,67%
Third,Rafael Nadal,6-4 6-2 6-2,2009,m,Rafael Nadal,Tommy Haas,ESP,GER,69%,62%,4,6,0,0,81%,57%,79%,41%,200,198,183,182,142,151,33%,100%,49%,19%,98,62,53,25,8,25,87%,57%
Third,Novak Djokovic,6-2 4-6 6-3 7-6(4),2009,m,Novak Djokovic,Amer Delic,SRB,BIH,65%,59%,11,16,4,6,79%,77%,52%,44%,208,224,193,206,153,171,38%,11%,37%,31%,139,123,30,46,27,56,65%,68%
Third,Roger Federer,6-3 6-2 7-6(5),2009,m,Roger Federer,Marat Safin,SUI,RUS,60%,51%,9,14,1,2,85%,63%,64%,59%,208,212,192,201,158,154,75%,-,39%,24%,103,76,26,33,28,33,46%,43%
Second,Rafael Nadal,6-2 6-3 6-2,2009,m,Rafael Nadal,Roko Karanusic,ESP,CRO,68%,66%,3,2,2,2,75%,69%,60%,27%,195,187,183,167,143,132,86%,0%,45%,30%,83,58,24,15,17,14,73%,65%
Second,Novak Djokovic,7-5 6-1 6-3,2009,m,Novak Djokovic,Jeremy Chardy,SRB,FRA,71%,61%,7,3,1,0,75%,61%,68%,45%,200,204,192,193,151,167,100%,50%,45%,27%,89,61,33,23,17,32,75%,37%
Second,Roger Federer,6-2 6-3 6-1,2009,m,Roger Federer,Evgeny Korolev,SUI,KAZ,60%,51%,8,2,3,3,71%,54%,70%,44%,198,201,167,188,154,148,58%,100%,51%,29%,89,59,25,26,15,44,67%,52%
Final,Roger Federer,6-3 6-4 7-6(11),2010,m,Roger Federer,Andy Murray,SUI,GBR,66%,57%,11,10,2,4,72%,69%,61%,51%,209,214,191,196,153,151,33%,25%,37%,32%,116,100,46,29,42,36,72%,61%
semi,Roger Federer,6-2 6-3 6-2,2010,m,Roger Federer,Jo-Wilfried Tsonga,SUI,FRA,64%,56%,4,6,0,5,84%,69%,68%,39%,208,207,190,189,152,146,50%,-,41%,22%,85,54,33,21,13,27,73%,52%
